ds,yhat,yhat_lower,yhat_upper
2018-01-01,121738.63386456041,91162.69954219146,150348.408935462
2018-01-02,123239.50403095683,91523.10796495678,156432.4546168782
2018-01-03,121620.85133064465,89630.3548490586,154593.6727331239
2018-01-04,126093.88654735663,95704.90522996917,158134.2075058967
2018-01-05,121638.39240594415,89276.05995745774,154055.78743261765
2018-01-06,125348.8390495493,93549.99857543511,156768.30809215724
2018-01-07,124917.99318786863,93870.32481358308,157919.9987982059
2018-01-08,124783.81345702375,91874.16851970428,156262.5447276527
2018-01-09,125982.97874173864,94764.9226466106,155858.76476083483
2018-01-10,124020.6261516272,90066.1355723609,155385.6275799493
2018-01-11,128114.04937434763,94408.54366115169,161005.26255260617
2018-01-12,123249.93571939728,91006.49367365838,155181.5052276134
2018-01-13,126530.33007378761,93573.32927126344,157582.58259352433
2018-01-14,125656.07623518264,94798.28016211237,158290.8237553334
2018-01-15,125073.53226774225,91499.60616948138,157803.61271687358
2018-01-16,125827.9110220948,94344.83821702958,158191.03089127372
2018-01-17,123432.8270771361,93073.97629294691,158875.10212409688
2018-01-18,127113.8054503409,97289.59203885277,158166.13176223682
2018-01-19,121865.33495628393,89754.74054607084,153103.6875811954
2018-01-20,124796.6588289824,91955.89123848072,156145.75066022653
2018-01-21,123615.05718713433,91852.79306632394,153741.79173254408
2018-01-22,122772.42171934922,90049.27522595621,153798.00227091048
2018-01-23,123318.47699278273,90669.21351376688,156873.74224058737
2018-01-24,120770.2323550235,90513.38688974807,155685.32418163778
2018-01-25,124355.4218784192,91171.12914179268,156127.941642719
2018-01-26,119069.51667146357,86277.84495790895,153065.84932861032
2018-01-27,122021.5029308255,91389.47029681446,152119.11363232604
2018-01-28,120917.18037314367,86894.58493439351,151905.1118769785
2018-01-29,120205.78079132448,89317.05296574527,154135.6508439639
2018-01-30,120933.25983675879,87933.92595006508,150705.8720355281
2018-01-31,118611.84406696408,87635.16473059946,149482.93920925105
2018-02-01,122463.58820240186,92105.12616780726,154356.9003845266
2018-02-02,117477.52390695363,84573.84340717885,148532.14458579788
2018-02-03,120755.590030497,89827.00839092309,152827.85673164832
2018-02-04,119996.09518261404,89500.73994810332,152720.3472876504
2018-02-05,119640.50837470866,86991.59053185205,152591.89308047763
2018-02-06,120726.92668804336,89555.18267233163,153127.43445057332
2018-02-07,118759.79783166049,88195.85140577318,152948.09002898625
2018-02-08,122953.6484275012,90864.43738081396,156933.2587060591
2018-02-09,118290.39540163509,86861.1893153493,148838.3002970613
2018-02-10,121865.4267464414,91789.67653721654,154755.63342227894
2018-02-11,121371.19919861446,90602.0647300743,152542.3116053134
2018-02-12,121244.14566929825,88043.11715597977,150772.53224010635
2018-02-13,122518.23897088619,89643.37552968666,155535.6038589929
2018-02-14,120694.78782730091,88248.73149890153,149859.4663650511
2018-02-15,124986.21470385534,94124.09986717592,156690.8687012971
2018-02-16,120373.39212582863,88436.27542582055,153161.1703236751
2018-02-17,123951.72364338065,90157.9528071004,154277.15154248395
2018-02-18,123414.71747032358,90168.63241071058,154673.34438394176
2018-02-19,123200.84668408624,90459.59359887659,154543.74853532633
2018-02-20,124347.04411208355,92819.59041462751,154967.59228679305
2018-02-21,122358.40995440484,89020.8953261266,155930.41387932075
2018-02-22,126451.88416144272,94793.18977709893,157844.2802047228
2018-02-23,121613.46307095731,90172.93181554183,152051.2099733575
2018-02-24,124944.14957178754,93067.06864249933,159202.3978011952
2018-02-25,124143.3881257115,93899.88297514252,155916.25383761068
2018-02-26,123655.78194757769,89507.63008528548,156802.22486754332
2018-02-27,124524.44390662457,93814.46964568914,156914.7502010009
2018-02-28,122260.56257741014,88338.16666046304,153507.80380809293
2018-03-01,126086.93869613089,94784.6426093762,157613.3358960374
2018-03-02,120995.07456132512,90753.02628764768,154038.03405766696
2018-03-03,124091.00837375403,91963.40502315362,157323.3066973411
2018-03-04,123078.64726868091,91859.37181611027,155613.62124405542
2018-03-05,122406.39834862672,89416.26565143993,154487.16395519263
2018-03-06,123120.45087090904,91804.20786401845,154958.4774944139
2018-03-07,120734.29215514516,89086.47820210853,151980.67023370942
2018-03-08,124472.21313749086,91215.87492404276,156900.2378976954
2018-03-09,119326.3863004239,87398.45528501553,151239.42829219473
2018-03-10,122402.70772686468,89768.67090818626,154793.06255238276
2018-03-11,121404.15630942005,86498.18918813986,151921.54618401712
2018-03-12,120777.46831400711,89349.2049127518,154056.7256241704
2018-03-13,121566.47895952585,90395.564024067,152252.77156629655
2018-03-14,119281.71176158945,86299.28947270194,149946.3434139589
2018-03-15,123143.96947621222,92403.7690839812,155899.75438775873
2018-03-16,118141.50706657858,84995.64974351304,150862.92775195508
2018-03-17,121375.97598141788,89848.47128134256,152648.48356231552
2018-03-18,120545.89022493358,90068.65140531522,151387.88125367125
2018-03-19,120093.40983806386,89176.30569531667,153628.79843733876
2018-03-20,121057.79090742147,86905.88900879765,153511.45678254231
2018-03-21,118945.08039481918,85721.09876557229,151696.8889495027
2018-03-22,122971.80731598192,88424.44557714579,155087.58178615748
2018-03-23,118122.24857709782,84109.02591157123,148149.0193847705
2018-03-24,121494.45688076413,88806.97621710107,152361.5808073978
2018-03-25,120783.79957571039,88837.49244724639,154373.8345978628
2018-03-26,120429.80276344377,89604.65062348178,154050.16555442728
2018-03-27,121469.6487889598,88875.42255954785,155431.4590546746
2018-03-28,119407.90474872576,87744.51382619361,148252.78387158664
2018-03-29,123460.23321502177,92538.74367380682,155692.0839474287
2018-03-30,118610.6634829937,86183.53027804548,149503.06667453962
2018-03-31,121957.61106279482,87463.65483369224,153086.44981645056
2018-04-01,121197.39489657569,90824.48944861472,155044.08160422213
2018-04-02,120771.04748811382,88493.63928568417,153505.5371329418
2018-04-03,121717.76718585464,89674.00244452214,152945.13683652037
2018-04-04,119544.5915713838,88725.04565554963,151258.57324568357
2018-04-05,123470.04463786099,91418.12258006464,153347.55550055177
2018-04-06,118481.33767946606,87610.57656038878,150794.14258988752
2018-04-07,121680.31331575429,89506.31863905305,150826.46836248395
2018-04-08,120766.88388018019,89342.43433432159,155032.41330823206
2018-04-09,120185.76111830103,86902.88797462473,151061.46691324512
2018-04-10,120979.82816437156,88400.14540478445,151437.85279442783
2018-04-11,118659.73441206619,87313.68905774628,151492.33299751312
2018-04-12,122447.46753183869,89185.94647596941,153578.3162494381
2018-04-13,117333.48399830956,84846.00236234753,147798.7567852055
2018-04-14,120422.58884726913,87934.82132642703,150875.0306550073
2018-04-15,119417.3170180433,88650.56956028123,152268.7040629089
2018-04-16,118764.61417089068,86882.62334204723,151362.73506321048
2018-04-17,119509.16869849873,85998.22733698088,152212.44093324928
2018-04-18,117162.97609809352,84054.55490983964,147334.4430654709
2018-04-19,120948.89030541951,91618.13314822818,151597.75314946147
2018-04-20,115857.74350417119,84048.78276844215,148251.13949643902
2018-04-21,118994.2250857773,86966.63474996005,151933.7453608282
2018-04-22,118060.27188694876,85849.31181705729,148905.3242840752
2018-04-23,117501.76719215377,84362.84693081949,149377.12263861005
2018-04-24,118361.89966040844,88232.04999139697,151395.48416811824
2018-04-25,116150.76263871707,83048.60385381817,146180.77965120113
2018-04-26,120088.9476360183,87987.14812142898,152064.122545044
2018-04-27,115164.71253575587,82876.87459856986,148040.30548790822
2018-04-28,118479.91420078524,86544.7314161835,150186.27596747817
2018-04-29,117733.45650375096,89131.12981853096,150438.60347415094
2018-04-30,117368.05015690897,84321.86374688246,146803.60156041995
2018-05-01,118423.6342883447,86377.37528632817,147942.40398494486
2018-05-02,116407.03909954785,85667.5921205092,149461.25147376955
2018-05-03,120535.64218854536,87462.21278245207,150916.99821158187
2018-05-04,115794.59798274844,85692.76468649885,146574.10876369197
2018-05-05,119282.82883886297,88289.97595320725,152096.30477597765
2018-05-06,118696.52781048353,85833.62865683358,148911.82169812807
2018-05-07,118475.96847031284,87866.10089221358,152537.84026506814
2018-05-08,119658.97090372817,88690.13740396131,151551.6721467191
2018-05-09,117750.60238508112,85928.49485015441,149778.48117493413
2018-05-10,121966.86467725589,89894.05967513268,155542.54886630693
2018-05-11,117291.94684875295,84168.89080810364,147212.77479776784
